Gegenstand;zugewiesene Gruppen;Brutto Betrag;Dokument;Kostenstellen;Kreditorname;Kreditornr.;Mandantenname;Mandantennr.;Netto Betrag;Prozessinstanz;Rechnungsdatum;Standort;Externe Belegnr.;Belegart;Empfangsdatum;Link zur Aufgabe;
KST Belegung;EAV_Buchhaltung;110,20;IL00011065;907000;REMONDIS AS-CONTROL GmbH;700013100;Ferronordic GmbH;10002;95,00;Verwaltung;16.11.2020;Dessau;53142756;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49220?task_form_url_id=e721cd879a2e7d752840a5fb482a27d1;
KST Belegung;EAV_Buchhaltung;137,89;IL00011066;907000;Theo Förch GmbH & Co.KG;700011100;Ferronordic GmbH;10002;118,87;Verwaltung;16.11.2020;Dessau;616214;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49219?task_form_url_id=4d16646ca1ef6c4f0e0c211da419e4d1;
KST Belegung;EAV_Buchhaltung;2527,56;IL00011067;907000;Volvo Group Trucks Central Europe GmbH;700011800;Ferronordic GmbH;10002;2124,00;Verwaltung;16.11.2020;Dessau;908455;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49218?task_form_url_id=c55699e1506cdba4eab68a8fdcdfb9c7;
KST Belegung;EAV_Buchhaltung;449,96;IL00011068;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;387,90;Verwaltung;17.11.2020;Dessau;20491748;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49217?task_form_url_id=5dbacc2df66a2871d33f60e3b5056dd6;
KST Belegung;EAV_Buchhaltung;80,39;IL00011073;907000;ANSH GmbH;700002500;Ferronordic GmbH;10002;69,30;Verwaltung;13.11.2020;Dessau;1004980;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49215?task_form_url_id=8c3859bb1ad7478654a215916f5b63a9;
KST Belegung;EAV_Buchhaltung;348,00;IL00011070;907000;WoKi KFZ-Meisterbetrieb Inh.Karsten Wolf;700023600;Ferronordic GmbH;10002;300,00;Verwaltung;17.11.2020;Dessau;92138;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49214?task_form_url_id=71bb8579af86fc001b345d6e47f96a20;
KST Belegung;EAV_Buchhaltung;5712,00;IL00011072;907000;Volvo Group Trucks Central Europe GmbH;700011800;Ferronordic GmbH;10002;4800,00;Verwaltung;16.11.2020;Dessau;908419;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49213?task_form_url_id=9ffd47e602a59ff02a73cbb717dc067d;
KST Belegung;EAV_Buchhaltung;1267,16;IL00011078;907000;Kinnarps GmbH;700097000;Ferronordic GmbH;10002;1092,38;Verwaltung;09.11.2020;Dessau;3223157;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49209?task_form_url_id=05721de3298ac5ea741c16ef6e948361;
KST Belegung;EAV_Buchhaltung;183,78;IL00011079;907000;Verlag für d. Dt. Wirtschaft AG;700016800;Ferronordic GmbH;10002;173,06;Verwaltung;18.11.2020;Dessau;21-2695316;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49208?task_form_url_id=2d25b089b412d8ae987d6ab43e88fbde;
KST Belegung;EAV_Buchhaltung;348,00;IL00011080;907000;B&R Express Inh. Oleg Bretz Langenhagen;700040100;Ferronordic GmbH;10002;300,00;Verwaltung;15.11.2020;Dessau;11/20//301;Invoice;2020-11-19;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49207?task_form_url_id=1401dcd4ac6da3866467b8cc33ca489b;
